"body","entityname","userid","username","createdAt","entityName","address","city","country","state"
"😵😭🖕☠🚬","Oakton High School","04i0fsCTmCeqAey5HlvaPwFkhPC3","Bella Panciocco","2018-05-23 18:03:24.649+00","Oakton High School","2900 Sutton Rd, Vienna","Vienna","United States","Virginia"
"👔🎩🤑👍","BOSS Store","108032751776815363988","Jerry Talton","2018-05-23 22:47:02.462+00","BOSS Store","10 Columbus Circle Ste #106, New York","New York","United States","New York"
"🥟🥢😩","Din Tai Fung Pacific Place","1573926969369084","Kavya Varghese","2018-05-24 02:06:57.463+00","Din Tai Fung Pacific Place","600 Pine Street Suite 403, Seattle","Seattle","United States","Washington"
"🐖🐖🐖🐖🐖","Din Tai Fung Pacific Place","849156475252964","Alyssa Chen","2018-05-24 02:07:49.629+00","Din Tai Fung Pacific Place","600 Pine Street Suite 403, Seattle","Seattle","United States","Washington"
"🍣🐏👫👫👍","BONDST","108032751776815363988","Jerry Talton","2018-05-24 02:36:16.486+00","BONDST","6 Bond Street, New York","New York","United States","New York"
"🍦😋👭","Molly Moon's Homemade Ice Cream","1573926969369084","Kavya Varghese","2018-05-24 03:51:27.853+00","Molly Moon's Homemade Ice Cream","917 East Pine Street, Seattle","Seattle","United States","Washington"
"🕐🖌💋🤩💸","Sephora","qKSVykMsNtPtEshtwLbOLYylXeJ3","Julia Megan Sullivan","2018-05-24 07:41:51.54+00","Sephora","230 Americana Way, Glendale","Glendale","United States","California"
"🇹🇭🍜❌🌶😌","Arches Thai","1111655028939865","Arnav Mishra","2018-05-24 21:22:43.889+00","Arches Thai","60 North 100 West, Moab","Moab","United States","Utah"
"😋🤑🐟🐔🌮","Antique Taco Chiquito","1659104244102907","Dayana Edat","2018-05-25 19:37:25.529+00","Antique Taco Chiquito","125 S Clark St, Chicago","Chicago","United States","Illinois"
"🚬😤💨🌁","Oakton","Cz40Cl5zsCQHZq7gdifwBQ01r4s1","Ryan Gaffney","2018-05-26 01:21:09.553+00","Oakton","Providence","Oakton","United States","Virginia"
"🍑🍍🍹🥂🗣","Damotori Makgeolli","904147553087729","Charis Ryu","2018-05-26 08:10:13.447+00","Damotori Makgeolli","31 Sinheung-ro, Yongsan 2(i)ga-dong, Yongsan-gu","Seoul","South Korea",""
"⛪👰🤵💍🎉","St Giles' Cathedral","105856798281199967470","Sujay Khandekar","2018-05-26 12:47:59.471+00","St Giles' Cathedral","High St, Edinburgh","Edinburgh","United Kingdom","Scotland"
"🙌😍🤤🥩🍗","Sanabel","fFuPufrCxpOCGKyt0flhF2pBxMZ2","Yara Hussein","2018-05-26 17:19:15.227+00","Sanabel","2946 Chain Bridge Rd O, Oakton","Oakton","United States","Virginia"
"🍳🧀🍞🥐🥖","Mr T's Family Cafe","849156475252964","Alyssa Chen","2018-05-26 17:53:43.539+00","Mr T's Family Cafe","503 West Fir Street, Mount Vernon","Mount Vernon","United States","Washington"
"🐥🙂🙂🙂🙂","Hunan West","1747013638673296","Jacqueline Talton","2018-05-26 23:53:27.243+00","Hunan West","8938 Burke Lake Road, Springfield","Springfield","United States","Virginia"
"👅🍣🐟🐠🤟","Foodland Lahaina","10210528750468531","Jewel Pi","2018-05-27 05:20:01.403+00","Foodland Lahaina","878 Front St, Lahaina","Lahaina","United States","Hawaii"
"👣😩☁️🌥🏔","Arthur's Seat","105856798281199967470","Sujay Khandekar","2018-05-27 17:47:42.572+00","Arthur's Seat","Edinburgh","Edinburgh","United Kingdom","Scotland"
"🌍😇🤗💵❤️","Arthur's Seat","QGQ5pcCQVyM1a4b6kedH0yPKj7L2","Richard Burton","2018-05-27 17:48:39.233+00","Arthur's Seat","Edinburgh","Edinburgh","United Kingdom","Scotland"
"👌🐦🍦🍪🍧","Hello Robin","849156475252964","Alyssa Chen","2018-05-27 19:52:26.539+00","Hello Robin","522 19th Ave E, Seattle","Seattle","United States","Washington"
"🤵💍👰😍","St Giles' Cathedral","mhuRVlQW4wOFrDVFUafrpZTAWjA3","Sophie Curran","2018-05-27 21:34:20.256+00","St Giles' Cathedral","High St, Edinburgh","Edinburgh","United Kingdom","Scotland"
"🥡🍸🍚🤑👍","Buddakan","108032751776815363988","Jerry Talton","2018-05-27 22:17:36.787+00","Buddakan","75 9th Avenue, New York","New York","United States","New York"
"🍤🐔🐮🥡🤤","Buddakan","10155200088205955","Ranjitha Kumar","2018-05-27 23:14:26.3+00","Buddakan","75 9th Avenue, New York","New York","United States","New York"
"🍣🍏🍲🍡🥟","Mitsuwa Marketplace","10212391291791338","Jinda Han","2018-05-28 05:43:21.183+00","Mitsuwa Marketplace","675 Saratoga Avenue, San Jose","San Jose","United States","California"
"😏😏","MAREDO Steakhouse Frankfurt a.M. An der Hauptwache","1263609250405290","Jimmy Chae","2018-05-28 10:49:21.606+00","MAREDO Steakhouse Frankfurt a.M. An der Hauptwache","An der Hauptwache 7, Frankfurt am Main","Frankfurt am Main","Germany","Hessen"
"😋🌿🍞🥗🥪","Sweet Leaf Cafe","04i0fsCTmCeqAey5HlvaPwFkhPC3","Bella Panciocco","2018-05-28 21:07:22.122+00","Sweet Leaf Cafe","262 Maple Ave E, Vienna","Vienna","United States","Virginia"
"🍕🇮🇳😋","The Curry Pizza Company","1111655028939865","Arnav Mishra","2018-05-29 04:43:53.375+00","The Curry Pizza Company","3173 W Shaw Ave #103, Fresno","Fresno","United States","California"
"🍔🐏🌶🍊😋","Baba gs Bhangra Burger","105856798281199967470","Sujay Khandekar","2018-05-29 12:47:07.855+00","Baba gs Bhangra Burger","Camden Lock Market, 7AP, Unit 215 - 216 Chalk Farm Rd, London","London","United Kingdom","England"
"🍟🧀🌶🍃😍","Oli Baba's","105856798281199967470","Sujay Khandekar","2018-05-29 13:03:42.216+00","Oli Baba's","15, KERB Camden Market, West Yard, Camden Lock Pl, London","London","United Kingdom","England"
"🏛🗡🔬🏺🗺","The British Museum","105856798281199967470","Sujay Khandekar","2018-05-29 15:41:46.842+00","The British Museum","Great Russell St, London","London","United Kingdom","England"
"🍜👍👍😘","honeygrow","sPP9kEWqQvYjMr7uSmo5vTNOBEB3","Avery Borens","2018-05-29 23:56:46.669+00","honeygrow","12100 Sunset Hills Road r12, Reston","Reston","United States","Virginia"
"😚👍🔥🍔","The Counter","sPP9kEWqQvYjMr7uSmo5vTNOBEB3","Avery Borens","2018-05-29 23:58:23.092+00","The Counter","11922 Democracy Drive, Reston","Reston","United States","Virginia"
"🥊🤝😊🚿🤑","Hammer Fitness and Boxing","1659104244102907","Dayana Edat","2018-05-30 03:57:17.482+00","Hammer Fitness and Boxing","525 W North Ave, Chicago","Chicago","United States","Illinois"
"🥓🍳🍔😋😍","DESTIHL Restaurant & Brew Works","904147553087729","Charis Ryu","2018-05-30 09:22:39.689+00","DESTIHL Restaurant & Brew Works","301 North Neil Street, Champaign","Champaign","United States","Illinois"
"😋🍝👩‍👧‍👦👩‍👧‍👦💗","Tutto Bello","1726108570780522","Shivali Patel","2018-05-30 18:13:00.488+00","Tutto Bello","113 59, Tegnérlunden 4, Stockholm","Stockholm","Sweden","Stockholms län"
"🐟🦐😋🍓🍫","Fish Market Restaurant","1748667878486854","Ingrid Pan","2018-05-30 20:32:14.05+00","Fish Market Restaurant","3150 El Camino Real, Palo Alto","Palo Alto","United States","California"
"🧘‍♀️🚴‍♀️😍☺️🤑","YogaSource","1748667878486854","Ingrid Pan","2018-05-30 20:39:59.997+00","YogaSource","16185 Los Gatos Blvd, Los Gatos","Los Gatos","United States","California"
"💅😍💯🤩🙌","BJ Grand Salon & Spa","1864493876898160","Matea Zaper","2018-05-31 00:23:51.286+00","BJ Grand Salon & Spa","3006 Crossing Court, Champaign","Champaign","United States","Illinois"
"😋🤙🥟🌲🐖","Din Tai Fung Bellevue Square","10215323205660534","Austin Sun","2018-05-31 06:22:11.293+00","Din Tai Fung Bellevue Square","700 Bellevue Way NE #280, Bellevue","Bellevue","United States","Washington"
"🎾🌵🌞👙😍","Troon Country Club","10210457306100125","Kagan Allen","2018-05-31 12:47:28.29+00","Troon Country Club","25000 N Windy Walk Dr, Scottsdale","Scottsdale","United States","Arizona"
"🐃🏇🤠😂🤦‍♀️","Buffalo Chip Saloon and Steakhouse","10210457306100125","Kagan Allen","2018-05-31 12:49:38.515+00","Buffalo Chip Saloon and Steakhouse","6823 E Cave Creek Rd, Cave Creek","Cave Creek","United States","Arizona"
"🤱🎀😀😘","Sibley Memorial Hospital","10210457306100125","Kagan Allen","2018-05-31 12:52:14.496+00","Sibley Memorial Hospital","5255 Loughboro Rd NW, Washington","Washington","United States","District of Columbia"
"🛑🗻⬜🏖🤯","Giants Causeway","105856798281199967470","Sujay Khandekar","2018-06-01 10:53:44.883+00","Giants Causeway","Bushmills","","United Kingdom","Northern Ireland"
"👨‍👩‍👦‍👦👨‍👩‍👧‍👦👨‍👩‍👧‍👧👫😡","Newark Liberty International Airport","108032751776815363988","Jerry Talton","2018-06-01 20:13:20.587+00","Newark Liberty International Airport","3 Brewster Road, Newark","Newark","United States","New Jersey"
"✈️🇦🇹🔴👁😫","Newark Liberty International Airport","10155200088205955","Ranjitha Kumar","2018-06-01 20:15:18.132+00","Newark Liberty International Airport","3 Brewster Road, Newark","Newark","United States","New Jersey"
"😁🍟🌞🦐🦀","McDonagh's","Tp48z4712kNM9lpg921gPhBayjD2","Lillian Bose","2018-06-02 09:58:54.235+00","McDonagh's","22 Quay St, Galway","Galway","Ireland","County Galway"
"❌🛌⏳⌛😴","Relais & Châteaux Hotel Schloss Dürnstein","10155200088205955","Ranjitha Kumar","2018-06-02 11:40:42.907+00","Relais & Châteaux Hotel Schloss Dürnstein","Dürnstein 2, Dürnstein","Dürnstein","Austria","Niederösterreich"
"🍸🌈","Balfes","Tp48z4712kNM9lpg921gPhBayjD2","Lillian Bose","2018-06-02 17:33:12.884+00","Balfes","2 Balfe Street, Dublin 2","Dublin","Ireland","County Dublin"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿🛫🛬🇺🇸🙏","O'Hare International Airport","105856798281199967470","Sujay Khandekar","2018-06-02 18:19:43.233+00","O'Hare International Airport","10000 W O'Hare Ave, Chicago","Chicago","United States","Illinois"
"🛫🌉🔜🐕","O'Hare International Airport","105856798281199967470","Sujay Khandekar","2018-06-02 20:34:16.284+00","O'Hare International Airport","10000 W O'Hare Ave, Chicago","Chicago","United States","Illinois"
"🍜😍🌄🏮🔥","Hot Pot Hot Pot","10155351902975735","Ruta Lele","2018-06-03 03:47:32.934+00","Hot Pot Hot Pot","120 S Atlantic Blvd, Monterey Park","Monterey Park","United States","California"
"🏰⛰🧗‍♂️📸👍","Burgruine Dürnstein","108032751776815363988","Jerry Talton","2018-06-03 14:34:37.875+00","Burgruine Dürnstein","Dürnstein","Dürnstein","Austria","Niederösterreich"
"🏰🏚⬆️🏞😎","Burgruine Dürnstein","10155200088205955","Ranjitha Kumar","2018-06-03 14:35:33.727+00","Burgruine Dürnstein","Dürnstein","Dürnstein","Austria","Niederösterreich"
"🚫😡😤👎","Sri Maruthi Driving School","1425689854196183","Sunaya Kumar","2018-06-03 17:21:52.847+00","Sri Maruthi Driving School","No 617, Main Road, Vinayaka Layout, Near-SBM Bank, Opposite-Bharath Petrol Bunk Nagarbhavi, Nagarbhavi, Bengaluru","Bengaluru","India","Karnataka"
"🥂😜🍳🤑🗣","Lokal","1659104244102907","Dayana Edat","2018-06-03 19:39:09.053+00","Lokal","2500 North Ashland Avenue, Chicago","Chicago","United States","IL"
"👍😀🍷🥑🍅","Art's Table","oFF4ICVgaIPLwhLwLtV9xa0NDye2","Gregg Chadwick","2018-06-03 20:18:07.674+00","Art's Table","1002 Montana Ave, Santa Monica","Santa Monica","United States","California"
"🏠🌄🏞🤩📸","Villa Schönthal","10155200088205955","Ranjitha Kumar","2018-06-04 02:50:22.3+00","Villa Schönthal","Dürnstein 82, Dürnstein","Dürnstein","Austria","Niederösterreich"
"🍦⏳😋👥🍫","Jeni's Splendid Ice Creams","1659104244102907","Dayana Edat","2018-06-04 03:18:58.452+00","Jeni's Splendid Ice Creams","1419 N. Wells St., 2S, Chicago","Chicago","United States","Illinois"
"🤴🦁❤️🔒⛓","Burgruine Dürnstein","10155200088205955","Ranjitha Kumar","2018-06-04 16:23:27.326+00","Burgruine Dürnstein","Dürnstein","Dürnstein","Austria","Niederösterreich"
"🍝🍞😋🎭💡","Il Poggiolo Ristorante","1659104244102907","Dayana Edat","2018-06-05 02:21:48.133+00","Il Poggiolo Ristorante","8 East 1st Street, Hinsdale","Hinsdale","United States","Illinois"
"👒🧢🇦🇹😍🤑","Mühlbauer Hutmanufaktur seit 1903, SHOP","10155200088205955","Ranjitha Kumar","2018-06-05 10:24:32.37+00","Mühlbauer Hutmanufaktur seit 1903, SHOP","Seilergasse 10, Wien","Wien","Austria","Wien"
"🏰🤩⭐💵☕","Hofburg Palace","10155200088205955","Ranjitha Kumar","2018-06-05 10:32:14.289+00","Hofburg Palace","Michaelerkuppel, Wien","Wien","Austria","Wien"
"🌯👍😛","Cactus South Lake Union","10210328739483687","Vivek Vaidya","2018-06-06 04:07:51.902+00","Cactus South Lake Union","350 Terry Avenue North, Seattle","Seattle","United States","Washington"
"⛲🐳🛥🤩😎","The Geneva Water Fountain","10155200088205955","Ranjitha Kumar","2018-06-06 10:26:34.996+00","The Geneva Water Fountain","Quai Gustave-Ador, Genève","Genève","Switzerland","Genève"
"🥡💸👎😡","Lòu one","108032751776815363988","Jerry Talton","2018-06-06 11:53:33.553+00","Lòu one","Quai du Mont-Blanc 19, Genève","Genève","Switzerland","Genève"
"🇨🇳🐔🐮🤑😑","Lòu one","10155200088205955","Ranjitha Kumar","2018-06-06 12:28:55.273+00","Lòu one","Quai du Mont-Blanc 19, Genève","Genève","Switzerland","Genève"
"🇫🇷🇬🇧🇮🇹🇯🇵🏐","Flags of United Nations","108032751776815363988","Jerry Talton","2018-06-06 12:36:15.08+00","Flags of United Nations","Geneva","Genève","Switzerland","Genève"
"🇨🇭🔪😎🧞‍♀️","Victorinox Flagship Store","10155200088205955","Ranjitha Kumar","2018-06-06 19:56:48.868+00","Victorinox Flagship Store","Rue du Marché 2, Genève","Genève","Switzerland","Genève"
"🥞😋🥓","Merry Ann's Diner (on Campus)","1898612533778623","Lindsay Huang","2018-06-06 23:20:38.145+00","Merry Ann's Diner (on Campus)","701 South Gregory Street c, Urbana","Urbana","United States","Illinois"
"🍓🍓💻💻","杏园餐厅","572481633129473","Yaoyang Liu","2018-06-07 02:00:10.068+00","杏园餐厅","北京市海淀区中关村东路1号清华科技园创新大厦B1楼","Beijing","China","Beijing Shi"
"🦐🐸👢🦆😋","Restaurant de l'Hôtel de ville de Crissier","108032751776815363988","Jerry Talton","2018-06-07 19:30:25.399+00","Restaurant de l'Hôtel de ville de Crissier","Rue d'Yverdon 1, Crissier","Crissier","Switzerland","Vaud"
"🚗⭐⭐⭐👈","Restaurant de l'Hôtel de ville de Crissier","10155200088205955","Ranjitha Kumar","2018-06-07 21:02:10.47+00","Restaurant de l'Hôtel de ville de Crissier","Rue d'Yverdon 1, Crissier","Crissier","Switzerland","Vaud"
"🌮🌮🍺👍💯","Big Star","878293195646842","Joe Higgs","2018-06-08 01:29:45.463+00","Big Star","1531 North Damen Avenue, Chicago","Chicago","United States","Illinois"
"👍👧👱‍♀️🥗🍛","착한식당촌","Ore5wuGho6eoXwYVwR1INWWsLi13","2Y Y","2018-06-08 03:27:45.097+00","착한식당촌","서울특별시 송파구 송파대로 111 파크하비오 106 동, B122 호, Songpa-daero, Songpa-gu","Seoul","South Korea",""
"😍","HOT PASTA - The Pasteria Italiana","bHYHdZJx5NdSsSkzHGmJJYe16c02","Adrian Spurr","2018-06-08 13:20:45.307+00","HOT PASTA - The Pasteria Italiana","Universitätstrasse 15, Zürich","Zürich","Switzerland","Zürich"
"🇺🇸🛫😴🛬🇵🇹","San Francisco International Airport","1748667878486854","Ingrid Pan","2018-06-09 14:57:02.753+00","San Francisco International Airport","San Francisco","San Francisco","United States","California"
"❌♿❌🇪🇺🤬","Zurich Airport","10155200088205955","Ranjitha Kumar","2018-06-10 07:14:22.738+00","Zurich Airport","Zürich-Flughafen","Kloten","Switzerland","Zürich"
"👚🗑🍫🛄😇","Zurich Airport","10155200088205955","Ranjitha Kumar","2018-06-10 08:19:32.879+00","Zurich Airport","Zürich-Flughafen","Kloten","Switzerland","Zürich"
"🌪💔🌳🙆😱","Urbana","110478412661569610356","cynthia coleman","2018-06-11 12:06:34.229+00","Urbana","Urbana","Urbana","United States","Illinois"
"🍆🥝🍑🎶👩‍🌾","Saratoga Farmers' Market at West Valley College","106173579224565293482","Kala Shivaramaiah","2018-06-11 19:03:08.957+00","Saratoga Farmers' Market at West Valley College","14000 Fruitvale Avenue, Saratoga","Saratoga","United States","California"
"✈️😴🇬🇧","Heathrow Airport","1898612533778623","Lindsay Huang","2018-06-12 10:01:11.405+00","Heathrow Airport","","Longford","United Kingdom","England"
"😍👍","착한식당촌","NRBzkYh41jcvnN25XOjvsXEKjn12","이희용","2018-06-12 13:46:28.208+00","착한식당촌","서울특별시 송파구 송파대로 111 파크하비오 106 동, B122 호, Songpa-daero, Songpa-gu","Seoul","South Korea",""
"❌❌❌❌❌","Lazo's Tacos","878293195646842","Joe Higgs","2018-06-12 23:32:51.093+00","Lazo's Tacos","2009 North Western Avenue, Chicago","Chicago","United States","Illinois"
"🥩👃👎🤷❓","Hamilton Walker's","904147553087729","Charis Ryu","2018-06-14 01:24:59.471+00","Hamilton Walker's","201 North Neil Street, Champaign","Champaign","United States","Illinois"
"🌿🌾🚜🚚📝","Monsanto, Thomasboro Research Station","904147553087729","Charis Ryu","2018-06-14 01:29:58.763+00","Monsanto, Thomasboro Research Station","2139 County Rd 2500 N, Thomasboro","Thomasboro","United States","Illinois"
"🎨💇👍👏","Ritual Salon","110478412661569610356","cynthia coleman","2018-06-15 15:08:49.126+00","Ritual Salon","804 East Main Street, Urbana","Urbana","United States","Illinois"
"💯🍛🥦🍚","Thai-ish","IJBmJ5EKEEdzdQAplvhprqTgBxt1","Nishant Maniam","2018-06-15 17:50:16.116+00","Thai-ish","7327, 168 Lexington Avenue, New York","New York","United States","New York"
"🍣🍱🐟🦀🤷","Bondi Sushi","10155200088205955","Ranjitha Kumar","2018-06-15 20:39:28.7+00","Bondi Sushi","6 West 28th Street, New York","New York","United States","New York"
"💁💁‍♂️👖✂️👍","Nordstrom Mens Store NYC","10155200088205955","Ranjitha Kumar","2018-06-15 20:45:03.444+00","Nordstrom Mens Store NYC","235 W 57th St, New York","New York","United States","New York"
"🎮🍺🥂🍷🥃","Emporium SF - Arcade Bar Venue","105856798281199967470","Sujay Khandekar","2018-06-16 06:44:12.884+00","Emporium SF - Arcade Bar Venue","616 Divisadero St, San Francisco","San Francisco","United States","California"
"🥃🍷🥂🍇😁","Fly","105856798281199967470","Sujay Khandekar","2018-06-16 06:44:35.753+00","Fly","762 Divisadero Street, San Francisco","San Francisco","United States","California"
"✈️🥖😋","American Express Centurion Lounge","10210328739483687","Vivek Vaidya","2018-06-16 21:39:55.207+00","American Express Centurion Lounge","Terminal 3-Lower Level, San Francisco International Airport (SFO), San Francisco","San Francisco","United States","California"
"🌲🥓🍞🥞🌲","Ruth's Diner","10212391291791338","Jinda Han","2018-06-17 06:58:25.141+00","Ruth's Diner","4160 Emigration Canyon Rd, Salt Lake City","Salt Lake City","United States","Utah"
"🍔🕊😋","Kumrucu Husnu","10155963998008817","Deniz Arsan","2018-06-17 10:11:44.703+00","Kumrucu Husnu","Dalyan Mahallesi, 4218. Sok. No:49","","Turkey","İzmir"
"👅🍔","Kumrucu Husnu","RTmDVZIBaCTRjBEhfBYxGYsiyCx2","Berk Karahan","2018-06-17 16:12:53.883+00","Kumrucu Husnu","Dalyan Mahallesi, 4218. Sok. No:49","","Turkey","İzmir"
"👫🛍🚶🚶🙅‍♂️","Anthropologie","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","Sampath Kumar","2018-06-17 19:44:00.484+00","Anthropologie","356 Santana Row, San Jose","San Jose","United States","California"
"🐠🍻🍸🤙","Remedy","3ZvUldytAhQMd7ikLiWAPGPQ0qm2","Kathryn Culleeny","2018-06-18 01:47:06.67+00","Remedy","1910 N Milwaukee Ave, Chicago","Chicago","United States","Illinois"
"🍜🌶👦👦🗣","Bai Tong","105856798281199967470","Sujay Khandekar","2018-06-18 01:54:21.12+00","Bai Tong","14515 Big Basin Way, Saratoga","Saratoga","United States","California"
"🍎🍏🍺🤤💯","Eris Brewery & Cider House","10160009362260456","Christopher Miller","2018-06-18 03:17:35.178+00","Eris Brewery & Cider House","4240 West Irving Park Road, Chicago","Chicago","United States","Illinois"
"🦌🐃⛈🌊🌳","Yellowstone National Park","10212391291791338","Jinda Han","2018-06-18 16:15:53.109+00","Yellowstone National Park","United States","Yellowstone National Park","United States","Wyoming"
"🌙🐺🌊🍪😴","Gray Wolf Inn & Suites","10212391291791338","Jinda Han","2018-06-18 16:18:23.981+00","Gray Wolf Inn & Suites","250 S Canyon St, West Yellowstone","West Yellowstone","United States","Montana"
"🤤🤤🤤","Sim Dondurma","dSqRO0Pn6Nc1HvKSwT2E2cKArSh2","Arınç Elhan","2018-06-18 17:39:47.553+00","Sim Dondurma","Prof. Dr. Ahmet Taner Kışlalı Mahallesi","","Turkey","Ankara"
"🥩🍖🍢🍆🍗","FT BBQ","10212391291791338","Jinda Han","2018-06-19 07:43:12.847+00","FT BBQ","660 Barber Ln, Milpitas","Milpitas","United States","California"
"🥥","Poke Paradise","9BURVqvjB9gleeWR06MCoNI6bIZ2","Cheng Kevin Hua","2018-06-19 14:49:42.404+00","Poke Paradise","455 Saratoga Ave, San Jose","San Jose","United States","California"
"😓🌦🌂☔","Thomas M. Siebel Center for Computer Science","110478412661569610356","cynthia coleman","2018-06-19 18:16:25.828+00","Thomas M. Siebel Center for Computer Science","201 North Goodwin Avenue, Urbana","Urbana","United States","Illinois"
"🛬🇬🇧😓🔜🍛","Hilton London Paddington","10203191900074104","Sunil Khandekar","2018-06-20 21:49:09.854+00","Hilton London Paddington","146 Praed St, London","London","United Kingdom","England"
"🛫🇬🇧🛬🇪🇸","Heathrow Airport","10203191900074104","Sunil Khandekar","2018-06-21 14:35:58.443+00","Heathrow Airport","","Longford","United Kingdom","England"
"🚗🤬🏃‍♀️😓🚆","Pennsylvania Station","10155200088205955","Ranjitha Kumar","2018-06-21 14:52:24.63+00","Pennsylvania Station","New York","New York","United States","New York"
"🗣📊🌧⌛😴","Thomas M. Siebel Center for Computer Science","110478412661569610356","cynthia coleman","2018-06-21 15:58:48.077+00","Thomas M. Siebel Center for Computer Science","201 North Goodwin Avenue, Urbana","Urbana","United States","Illinois"
"🥄🥈🌚🏇🏚","The Paul Revere House","108032751776815363988","Jerry Talton","2018-06-21 20:37:21.018+00","The Paul Revere House","19 N Square, Boston","Boston","United States","Massachusetts"
"🏚🕛🏇🔔😎","The Paul Revere House","10155200088205955","Ranjitha Kumar","2018-06-22 03:58:08.756+00","The Paul Revere House","19 N Square, Boston","Boston","United States","Massachusetts"
"🌶🥩🥗🥟😋","JX Cuisine","10212391291791338","Jinda Han","2018-06-22 05:34:01.255+00","JX Cuisine","3581 Homestead Rd, Santa Clara","Santa Clara","United States","California"
"👩‍👧‍👦💅👣🎨⌛","Angel Nails","110478412661569610356","cynthia coleman","2018-06-22 18:45:55.373+00","Angel Nails","2500 Philo Road, Urbana","Urbana","United States","Illinois"
"🍣😐❄️🍶🤑","Uni","108032751776815363988","Jerry Talton","2018-06-23 12:51:50.286+00","Uni","370A Commonwealth Avenue, Boston","Boston","United States","Massachusetts"
"🛬🔜🏡🍭🏡","San Francisco International Airport","10203191900074104","Sunil Khandekar","2018-06-23 22:24:15.375+00","San Francisco International Airport","San Francisco","San Francisco","United States","California"
"🍑🔜🥧➡️👩‍🎤","Saratoga Farmers' Market at West Valley College","106173579224565293482","Kala Shivaramaiah","2018-06-24 00:37:01.683+00","Saratoga Farmers' Market at West Valley College","14000 Fruitvale Avenue, Saratoga","Saratoga","United States","California"
"🛬👩‍🎤🍫👨‍👩‍👧🆒","San Francisco International Airport","106173579224565293482","Kala Shivaramaiah","2018-06-24 00:42:13.958+00","San Francisco International Airport","San Francisco","San Francisco","United States","California"
"🌶🌶😋🥗🍲","Chili Garden 山城私房菜","10212391291791338","Jinda Han","2018-06-24 05:57:47.826+00","Chili Garden 山城私房菜","210 Barber Ct, Milpitas","Milpitas","United States","California"
"👧💳🙁😔","Gordion Alışveriş Merkezi","RTmDVZIBaCTRjBEhfBYxGYsiyCx2","Berk Karahan","2018-06-24 07:34:54.801+00","Gordion Alışveriş Merkezi","Koru Mahallesi, Ankaralılar Cd. 2/A, Çankaya","","Turkey","Ankara"
"😀","Wangzi Restaurant","MVznrxMIYNeN5Pxaopv9DB0S66g1","Yunong Wu","2018-06-24 13:59:23.242+00","Wangzi Restaurant","798 Shenhua Road, Gudun Road, Xihu, Hangzhou","Hangzhou Shi","China","Zhejiang Sheng"
"🏳️‍🌈☮❤️🌆🎊","5th Ave","108032751776815363988","Jerry Talton","2018-06-24 20:14:13.959+00","5th Ave","New York","New York","United States","New York"
"🗣🤖🧠⚖🙋","Pajaro Dunes Resort","10155200088205955","Ranjitha Kumar","2018-06-25 14:24:19.696+00","Pajaro Dunes Resort","105 Shell Rd, Watsonville","Watsonville","United States","California"
"🤣","SUBWAY®Restaurants","IshVJ5gZFuUqIziw174z9KKt9hq1","Yan Chen","2018-06-26 02:54:36.676+00","SUBWAY®Restaurants","200 Lee Road, Watsonville","Watsonville","United States","California"
"🍝🌮🌮🍳🍝","Pajaro Dunes Resort","rJFuidCPCiZuGeskRtz01ypOYBD2","Toby Jiajun Li","2018-06-26 02:55:46.482+00","Pajaro Dunes Resort","105 Shell Rd, Watsonville","Watsonville","United States","California"
"🥩🌶😋🍲👍","Kunjip Restaurant","10212391291791338","Jinda Han","2018-06-26 08:16:49.413+00","Kunjip Restaurant","1066 Kiely Blvd, Santa Clara","Santa Clara","United States","California"
"🐮🐔🍏🍺😃","HOME, Soquel","106173579224565293482","Kala Shivaramaiah","2018-06-27 02:48:58.405+00","HOME, Soquel","3101 N Main St, Soquel","Soquel","United States","California"
"🍏🍎🍺😋🍾","HOME, Soquel","Ybwj1wTN0rVKBHTbr4YbiK0JMyc2","Sampath Kumar","2018-06-27 08:11:30.264+00","HOME, Soquel","3101 N Main St, Soquel","Soquel","United States","California"
"🥐🍳☕🇦🇹🤝","Julius Meinl","1659104244102907","Dayana Edat","2018-06-27 20:56:54.517+00","Julius Meinl","3601 North Southport Avenue, Chicago","Chicago","United States","Illinois"
"🇹🇷","ADEN Beytepe","RTmDVZIBaCTRjBEhfBYxGYsiyCx2","Berk Karahan","2018-06-28 18:53:44.318+00","ADEN Beytepe","Beytepe Mahallesi, Çankaya","","Turkey","Ankara"
"🤢🤢🤢🤢🤢","ADEN Beytepe","dSqRO0Pn6Nc1HvKSwT2E2cKArSh2","Arınç Elhan","2018-06-28 18:54:09.289+00","ADEN Beytepe","Beytepe Mahallesi, Çankaya","","Turkey","Ankara"
"🤮🤮🤮🤮🤮","ADEN Beytepe","dSqRO0Pn6Nc1HvKSwT2E2cKArSh2","Arınç Elhan","2018-06-28 18:54:33.491+00","ADEN Beytepe","Beytepe Mahallesi, Çankaya","","Turkey","Ankara"
"👪👪👪👪👪","ADEN Beytepe","RTmDVZIBaCTRjBEhfBYxGYsiyCx2","Berk Karahan","2018-06-28 18:54:45.22+00","ADEN Beytepe","Beytepe Mahallesi, Çankaya","","Turkey","Ankara"
